placeID,Long,Lat,Nights.active,Excluded,Excluded1,Badger,Blackbird,Cat,Dog,Dunnock,Fox,Great_tit,Hedgehog,Jay,Magpie,Mouse,Rat,Robin,Song_thrush,Squirrel,Wood_pigeon,Wren
1,-0.24748,51.46563542,20,no,0,0,14,0,1,0,2,0,0,0,0,7,7,68,0,7,9,1
2,-0.24514,51.46563542,20,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,-0.24281,51.46563542,20,no,0,5,2,0,0,0,32,0,0,0,0,0,0,2,0,1,1,0
4,-0.24514,51.4671,20,no,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,8
5,-0.24277,51.46731,20,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
6,-0.24048,51.4671,20,no,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,2
7,-0.23815,51.4671,20,no,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8,-0.23582,51.4671,20,no,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0
9,-0.23115,51.4671,20,no,0,0,0,0,4,0,10,1,0,1,1,0,0,0,0,8,0,0
10,-0.22891,51.46751,20,no,0,0,0,9,2,0,13,0,0,0,0,0,0,0,0,0,0,0
11,-0.24281,51.46856,20,no,0,0,1,0,0,0,0,0,0,0,0,3,9,3,0,4,0,1
12,-0.24048,51.46856,20,no,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3
13,-0.23815,51.46856,20,no,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0
14,-0.23582,51.46856,4,no,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0
15,-0.23349,51.46856,20,no,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,2,5,0
16,-0.23225,51.46856,14,no,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0
17,-0.23015,51.4687,18,no,0,0,0,0,1,0,10,0,0,0,20,0,0,0,0,0,0,0
18,-0.24281,51.47002,20,no,0,0,0,2,7,0,9,0,0,0,0,0,6,0,0,0,4,0
19,-0.24108,51.46997,20,no,0,0,0,0,3,0,4,0,0,0,0,0,0,1,0,0,0,1
20,-0.23815,51.47002,20,no,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,3,0,0
21,-0.23582,51.47002,20,no,0,0,0,0,0,3,1,0,0,0,0,59,0,2,0,0,0,3
22,-0.23349,51.47002,20,no,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
23,-0.23164,51.46999,20,no,0,0,0,0,3,0,16,0,0,0,0,0,1,9,0,3,1,6
24,-0.22882,51.47002417,20,no,0,0,0,2,11,0,15,3,0,0,7,0,2,13,0,37,2,0
25,-0.24281,51.47148708,20,no,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,4
26,-0.24048,51.47148708,20,no,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1
27,-0.23815,51.47148708,20,no,0,0,7,16,7,1,26,0,0,0,0,1,9,3,2,2,4,0
28,-0.23349,51.47148708,20,no,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0
29,-0.23115,51.47148708,20,no,0,0,0,0,1,0,7,0,0,0,0,1,2,0,0,3,0,2
30,-0.22882,51.47148708,20,no,0,0,18,0,2,0,38,0,0,0,1,2,0,15,6,2,0,3