"","placeID","canopy.coverage","...3","Lat","Long","Nights.active","Cat","Fox","trapping_rate_cat","distance","trapping_rate_fox"
"1",1,22.146,NA,51.40703,-0.33821,20,0,34,0,0.000187130667072126,1.7
"2",2,22.146,NA,51.40705,-0.3366,3,0,12,0,0.000517317117393063,4
"3",3,22.146,NA,51.4084,-0.33887,24,0,1,0,0.00147795734917447,0.0416666666666667
"4",4,6.349,NA,51.40994,-0.35038,24,0,3,0,0.000695841373200433,0.125
"5",5,6.349,NA,51.40994,-0.34809,24,0,4,0,0.0013832705863092,0.166666666666667
"6",6,46.483,NA,51.41007,-0.34588,24,0,0,0,0.00236309414869327,0
"7",7,21.117,NA,51.40991,-0.3436,24,0,33,0,0.00318516717705313,1.375
"8",8,21.117,NA,51.41003,-0.34119,24,0,0,0,0.00318236673495868,0
"9",9,21.117,NA,51.40994,-0.33894,24,0,3,0,0.00300389897174056,0.125
"10",10,48.659,NA,51.40994,-0.33665,24,0,13,0,0.00333465665396783,0.541666666666667
"11",11,6.439,NA,51.40994,-0.33436,24,0,21,0,0.0035211374848702,0.875
"12",12,6.439,NA,51.40994,-0.33207,24,0,11,0,0.00331371630612095,0.458333333333333
"13",13,24.499,NA,51.40994,-0.32978,24,0,2,0,0.00305627493717995,0.0833333333333333
"14",14,24.499,NA,51.40994,-0.32749,3,0,17,0,0.00279923795296104,5.66666666666667
"15",15,28.642,NA,51.40995,-0.3252,24,0,1,0,0.00257082004997563,0.0416666666666667
"16",16,28.642,NA,51.41141,-0.35496,24,0,1,0,0.00055172462802016,0.0416666666666667
"17",17,22.376,NA,51.41137,-0.35267,22,0,1,0,0.00133714810477049,0.0454545454545455
"18",18,29.26,NA,51.4112,-0.35044,24,0,10,0,0.00189529417357973,0.416666666666667
"19",19,46.483,NA,51.41137,-0.34809,24,0,4,0,0.00263339763833527,0.166666666666667
"20",20,46.483,NA,51.41132,-0.3437,24,0,13,0,0.00439211456260978,0.541666666666667
"21",21,46.483,NA,51.41123,-0.34378,24,0,26,0,0.00427734663763509,1.08333333333333
"22",22,48.659,NA,51.41137,-0.34123,24,0,28,0,0.00447926747893248,1.16666666666667
"23",23,48.659,NA,51.41137,-0.33894,24,0,12,0,0.00442918906754742,0.5
"24",24,48.659,NA,51.41137,-0.33665,24,0,15,0,0.00473729608378851,0.625
"25",25,12.162,NA,51.41139,-0.33449,2,0,4,0,0.00497323307616999,2
"26",26,12.162,NA,51.41137,-0.33207,8,0,4,0,0.00472939887236167,0.5
"27",27,24.499,NA,51.41164,-0.32914,24,0,11,0,0.00467237590240399,0.458333333333333
"28",28,24.499,NA,51.41201,-0.32795,24,0,20,0,0.00490460209945021,0.833333333333333
"29",29,40.766,NA,51.41139,-0.32619,24,0,13,0,0.00411483301433474,0.541666666666667
"30",30,40.766,NA,51.4126049,-0.3198589,24,0,20,0,0.00300806596449673,0.833333333333333
"31",31,22.376,NA,51.41064,-0.32087,25,0,18,0,0.00233544415430806,0.72
"32",32,8.875,NA,51.41267,-0.35435,24,0,26,0,0.00194036949633215,1.08333333333333
"33",33,5.846,NA,51.41286,-0.35428,25,0,28,0,0.00214276908152786,1.12
"34",34,29.26,NA,51.41295,-0.35326,24,0,12,0,0.00255657278427027,0.5
"35",35,29.26,NA,51.41299,-0.3504,24,0,12,0,0.00365174103924378,0.5
"36",36,29.26,NA,51.41284,-0.34835,24,0,5,0,0.0038140812416256,0.208333333333333
"37",37,45.923,NA,51.41277,-0.34574,24,0,15,0,0.00491786066340527,0.625
"38",38,57.439,NA,51.41286,-0.34317,24,0,4,0,0.00601450631075223,0.166666666666667
"39",39,57.439,NA,51.4128,-0.34122,24,0,13,0,0.00587504331111736,0.541666666666667
"40",40,46.55,NA,51.41267,-0.33906,24,0,17,0,0.00571517591314832,0.708333333333333
"41",41,46.55,NA,51.4128,-0.33665,24,0,20,0,0.00613993551360918,0.833333333333333
"42",42,12.162,NA,51.4128,-0.33436,24,0,5,0,0.00637705813124781,0.208333333333333
"43",43,12.162,NA,51.41295,-0.33232,24,0,7,0,0.00632886783287297,0.291666666666667
"44",44,67.404,NA,51.41285,-0.33031,10,0,9,0,0.00600685187839365,0.9
"45",45,67.404,NA,51.4128335,-0.3256284,24,0,4,0,0.00548443185843741,0.166666666666667
"46",46,40.766,NA,51.41294,-0.32281,8,0,10,0,0.00498030287556406,1.25
"47",47,29.728,NA,51.41319,-0.31997,24,0,11,0,0.00272876853005387,0.458333333333333
"48",48,29.728,NA,51.41286,-0.31874,24,0,13,0,0.00198805590305981,0.541666666666667
"49",49,29.728,NA,51.41423,-0.35724,24,0,17,0,0.00079482522000398,0.708333333333333
"50",50,8.875,NA,51.41423,-0.35496,25,0,41,0,0.00273009413332836,1.64
"51",51,8.875,NA,51.41428,-0.35019,24,0,13,0,0.004921386075939,0.541666666666667
"52",52,29.26,NA,51.41401,-0.34826,24,0,16,0,0.00494086548222832,0.666666666666667
"53",53,29.26,NA,51.41423,-0.3458,4,0,15,0,0.00624553723113408,3.75
"54",54,45.923,NA,51.41456,-0.34388,24,0,9,0,0.00727838658744322,0.375
"55",55,45.923,NA,51.4143,-0.33882,20,0,11,0,0.00735927012772057,0.55
"56",56,45.923,NA,51.41423,-0.33665,24,0,10,0,0.00721462936557405,0.416666666666667
"57",57,57.439,NA,51.41423,-0.33436,23,0,10,0,0.00680314702974674,0.434782608695652
"58",58,46.55,NA,51.41423,-0.33436,4,0,19,0,0.00680314702974674,4.75
"59",59,46.55,NA,51.41434,-0.32997,17,0,20,0,0.00604724896792288,1.17647058823529
"60",60,33.161,NA,51.41424,-0.3278,24,0,19,0,0.00548719970476464,0.791666666666667
"61",61,33.161,NA,51.4148627,-0.3267038,24,0,2,0,0.00459152320836131,0.0833333333333333
"62",62,33.161,NA,51.4148723,-0.3221547,24,0,6,0,0.00296388229146969,0.25
"63",63,33.161,NA,51.4135976,-0.3196485,24,0,16,0,0.00222297259620359,0.666666666666667
"64",64,53.619,NA,51.4139459,-0.31844,24,0,14,0,0.00106221030731266,0.583333333333333
"65",65,53.619,NA,51.41566,-0.35724,24,0,81,0,0.000306520083617691,3.375
"66",66,53.619,NA,51.41577,-0.35479,11,0,20,0,0.00257169331194788,1.81818181818182
"67",67,29.728,NA,51.41554,-0.3532,21,0,17,0,0.00414466002579452,0.80952380952381
"68",68,8.875,NA,51.41561,-0.35068,21,0,60,0,0.00601841153329535,2.85714285714286
"69",69,18.183,NA,51.41587,-0.3479,24,0,3,0,0.00682323134691518,0.125
"70",70,39.608,NA,51.41566,-0.3458,24,0,20,0,0.007253237424372,0.833333333333333
"71",71,39.608,NA,51.41587,-0.34445,24,0,27,0,0.00695571239600192,1.125
"72",72,39.608,NA,51.41564,-0.34108,24,0,30,0,0.00681407835417373,1.25
"73",73,11.701,NA,51.41567,-0.33893,14,0,25,0,0.00627971271063893,1.78571428571429
"74",74,11.701,NA,51.41568,-0.33637,27,0,20,0,0.00573805915849026,0.740740740740741
"75",75,11.701,NA,51.41566,-0.33436,24,0,18,0,0.00539694886087699,0.75
"76",76,11.701,NA,51.41566,-0.33207,24,1,17,0.0416666666666667,0.00504974607199167,0.708333333333333
"77",77,46.55,NA,51.41568,-0.33003,23,0,12,0,0.00476127230648628,0.521739130434783
"78",78,33.661,NA,51.41576,-0.32746,24,0,1,0,0.00393010094704593,0.0416666666666667
"79",79,33.661,NA,51.41566,-0.32521,24,0,3,0,0.00335759627191091,0.125
"80",80,67.404,NA,51.41576,-0.32311,24,0,0,0,0.00253500439111128,0
"81",81,67.404,NA,51.41566,-0.32063,24,0,17,0,0.00156598926080997,0.708333333333333
"82",82,53.619,NA,51.41719,-0.35449,24,0,90,0,0.00261210984784636,3.75
"83",83,53.619,NA,51.41707,-0.35247,20,0,24,0,0.00462353730519689,1.2
"84",84,29.728,NA,51.41724,-0.35107,24,0,12,0,0.00602864058179313,0.5
"85",85,23.629,NA,51.41706,-0.34802,24,0,10,0,0.0065329697248725,0.416666666666667
"86",86,35.323,NA,51.41709,-0.3458,16,0,18,0,0.00583305958525526,1.125
"87",87,35.323,NA,51.41763,-0.34396,24,0,10,0,0.00516966019954302,0.416666666666667
"88",88,18.349,NA,51.41709,-0.34123,22,0,17,0,0.00544839617405607,0.772727272727273
"89",89,18.349,NA,51.41712,-0.33896,24,0,0,0,0.00487354775759809,0
"90",90,11.701,NA,51.41731,-0.33771,27,0,113,0,0.00440748299900429,4.18518518518519
"91",91,11.701,NA,51.41703,-0.33407,24,0,6,0,0.00399706113626212,0.25
"92",92,20.833,NA,51.41709,-0.33207,24,0,1,0,0.0036340548165099,0.0416666666666667
"93",93,20.833,NA,51.41709,-0.32978,24,0,3,0,0.00333133686283001,0.125
"94",94,33.661,NA,51.41689,-0.32788,8,0,5,0,0.00294148744195977,0.625
"95",95,33.661,NA,51.41709,-0.32292,24,0,3,0,0.00123020970489745,0.125
"96",96,56.011,NA,51.41709,-0.32063,24,0,5,0,0.000296546445492378,0.208333333333333
"97",97,56.011,NA,51.41842,-0.35471,24,0,4,0,0.00279196564496306,0.166666666666667
"98",98,53.619,NA,51.41885,-0.35278,21,0,0,0,0.00470666618794255,0
"99",99,53.619,NA,51.41849,-0.35139,24,0,32,0,0.00590295112908007,1.33333333333333
"100",100,23.629,NA,51.41878,-0.34795,24,0,0,0,0.00502277071888516,0
"101",101,23.629,NA,51.41852,-0.3458,24,0,3,0,0.00441922109833408,0.125
"102",102,35.323,NA,51.4185287,-0.343519,22,0,13,0,0.00424629744857998,0.590909090909091
"103",103,35.323,NA,51.41852,-0.34123,24,0,20,0,0.00406435029334147,0.833333333333333
"104",104,34.081,NA,51.4190005,-0.3389277,14,0,21,0,0.00303389422951545,1.5
"105",105,34.081,NA,51.41852,-0.3343,24,0,38,0,0.00257365096227014,1.58333333333333
"106",106,18.349,NA,51.41852,-0.33207,45,0,11,0,0.00221836356102109,0.244444444444444
"107",107,10.92,NA,51.41852,-0.32978,24,0,2,0,0.00191194588808883,0.0833333333333333
"108",108,10.92,NA,51.4191253,-0.3285973,31,0,8,0,0.00114254261054556,0.258064516129032
"109",109,20.833,NA,51.41853,-0.32517,24,0,17,0,0.000628250014072595,0.708333333333333
"110",110,20.833,NA,51.42091,-0.35471,24,0,1,0,0.00433416775665707,0.0416666666666667
"111",111,35.113,NA,51.42048,-0.35334,24,0,1,0,0.00514211903221461,0.0416666666666667
"112",112,35.113,NA,51.42056,-0.35147,2,0,1,0,0.00602467458393291,0.5
"113",113,56.011,NA,51.41976,-0.34827,19,0,30,0,0.00448680049862661,1.57894736842105
"114",114,56.011,NA,51.41995,-0.3458,24,0,4,0,0.00302063670552733,0.166666666666667
"115",115,19.793,NA,51.41983731,-0.341065,24,0,41,0,0.00274787995101824,1.70833333333333
"116",116,19.793,NA,51.42008235,-0.33892084,24,0,0,0,0.00197817760945828,0
"117",117,23.629,NA,51.41995,-0.33436,24,0,31,0,0.00117835435426773,1.29166666666667
"118",118,40.906,NA,51.41995,-0.33207,31,0,113,0,0.000802672305532287,3.64516129032258
"119",119,17.419,NA,51.41995,-0.32978,24,0,38,0,0.000492554913354706,1.58333333333333
"120",120,17.419,NA,51.42133,-0.35542,25,0,2,0,0.00356952538462606,0.08
"121",121,10.92,NA,51.42115,-0.35244,6,0,8,0,0.00556833241536968,1.33333333333333
"122",122,10.92,NA,51.42138,-0.35038,22,0,0,0,0.00506754419990631,0
"123",123,28.967,NA,51.42138,-0.34809,24,0,0,0,0.00339679750863996,0
"124",124,28.967,NA,51.42094657,-0.34075487,24,0,1,0,0.00159627745540045,0.0416666666666667
"125",125,28.967,NA,51.42125242,-0.33899756,32,0,25,0,0.000858339738702176,0.78125
"126",126,28.967,NA,51.4239,-0.3574,24,0,26,0,0.00080649654513255,1.08333333333333
"127",127,40.906,NA,51.42282,-0.35496,36,1,139,0.0277777777777778,0.00347480358096471,3.86111111111111
"128",128,40.906,NA,51.423282,-0.351601,24,0,12,0,0.00334399930148187,0.5
"129",129,17.419,NA,51.42285,-0.35095,24,0,17,0,0.00368597961687025,0.708333333333333
"130",130,7.419,NA,51.42293,-0.3481,21,0,7,0,0.00295036398374409,0.333333333333333
"131",131,11.65,NA,51.4233,-0.34561,24,0,24,0,0.000446685428532909,1
"132",132,28.967,NA,51.42425,-0.35724,24,0,9,0,0.00081283503414228,0.375
"133",133,28.967,NA,51.42425,-0.35496,24,0,1,0,0.00243112968969319,0.0416666666666667
"134",134,26.561,NA,51.42425,-0.35267,22,0,24,0,0.00252609759283762,1.09090909090909
"135",135,40.906,NA,51.42425,-0.3458,24,0,14,0,0.000394058256328518,0.583333333333333
"136",136,40.906,NA,51.42568,-0.35267,24,0,17,0,0.00110869328708665,0.708333333333333
"137",137,25.265,NA,51.42534,-0.351,24,0,35,0,0.00122453368095332,1.45833333333333
"138",138,25.265,NA,51.42593,-0.34813,21,0,5,0,0.000231359960487524,0.238095238095238
