Park,placeID,canopy.coverage,Lat,Long,Nights.active,Cat,Fox,trapping_rate_cat,trapping_rate_fox,distance,park.size
Barnes,1,27.158,51.46563542,-0.24748,20,0,2,0,0.1,0.000547472,1759732
Barnes,2,45.038,51.46563542,-0.24514,20,0,0,0,0,0.000453927,1759732
Barnes,3,45.038,51.46563542,-0.24281,20,0,32,0,1.6,0.000394014,1759732
Barnes,4,45.038,51.4671,-0.24514,20,0,7,0,0.35,0.000445338,1759732
Barnes,5,45.038,51.46731,-0.24277,20,0,0,0,0,0.001928316,1759732
Barnes,6,52.709,51.4671,-0.24048,20,0,11,0,0.55,0.001418089,1759732
Barnes,7,52.709,51.4671,-0.23815,20,0,1,0,0.05,0.00092317,1759732
Barnes,8,29.543,51.4671,-0.23582,20,0,2,0,0.1,0.000298731,1759732
Barnes,9,7.653,51.4671,-0.23115,20,0,10,0,0.5,0.000385925,1759732
Barnes,10,7.653,51.46751,-0.22891,20,9,13,0.45,0.65,0.000766186,1759732
Barnes,11,43.94,51.46856,-0.24281,20,0,0,0,0,0.001162728,1759732
Barnes,12,52.71,51.46856,-0.24048,20,0,0,0,0,0.002816755,1759732
Barnes,13,52.71,51.46856,-0.23815,20,0,14,0,0.7,0.002311667,1759732
Barnes,14,42.337,51.46856,-0.23582,4,0,1,0,0.25,0.001701365,1759732
Barnes,15,42.337,51.46856,-0.23349,20,0,6,0,0.3,0.001084065,1759732
Barnes,16,7.653,51.46856,-0.23225,14,3,15,0.214285714,1.071428571,0.001607606,1759732
Barnes,17,7.653,51.4687,-0.23015,18,0,10,0,0.555555556,0.001968389,1759732
Barnes,18,43.94,51.47002,-0.24281,20,2,9,0.1,0.45,0.000743206,1759732
Barnes,19,29.372,51.46997,-0.24108,20,0,4,0,0.2,0.001404355,1759732
Barnes,20,29.372,51.47002,-0.23815,20,1,10,0.05,0.5,0.001770434,1759732
Barnes,21,42.337,51.47002,-0.23582,20,0,1,0,0.05,0.001924938,1759732
Barnes,22,42.337,51.47002,-0.23349,20,0,2,0,0.1,0.002543355,1759732
Barnes,23,26.268,51.46999,-0.23164,20,0,16,0,0.8,0.003089971,1759732
Barnes,24,26.268,51.47002417,-0.22882,20,2,15,0.1,0.75,0.000774428,1759732
Barnes,25,29.372,51.47148708,-0.24281,20,0,1,0,0.05,0.000195644,1759732
Barnes,26,29.372,51.47148708,-0.24048,20,2,3,0.1,0.15,0.000126879,1759732
Barnes,27,29.372,51.47148708,-0.23815,20,16,26,0.8,1.3,0.000309694,1759732
Barnes,28,18.506,51.47148708,-0.23349,20,1,3,0.05,0.15,0.003141905,1759732
Barnes,29,26.268,51.47148708,-0.23115,20,0,7,0,0.35,0.002637784,1759732
Barnes,30,26.268,51.47148708,-0.22882,20,0,38,0,1.9,0.000694061,1759732
Kempton,1,44.93,51.426692,-0.391616,14,0,38,0,2.714285714,0.000315804,2422662
Kempton,2,44.93,51.426492,-0.391081,14,0,1,0,0.071428571,0.000537851,2422662
Kempton,3,44.93,51.426195,-0.390401,14,2,13,0.142857143,0.928571429,0.000857236,2422662
Kempton,4,44.93,51.425304,-0.389274,14,0,2,0,0.142857143,0.00178589,2422662
Kempton,5,44.93,51.424928,-0.388122,14,1,51,0.071428571,3.642857143,0.001711708,2422662
Kempton,6,35.9,51.423894,-0.38883,14,6,50,0.428571429,3.571428571,0.002923882,2422662
Kempton,7,35.9,51.424066,-0.390086,14,1,30,0.071428571,2.142857143,0.002986236,2422662
Kempton,8,47.267,51.42399,-0.391985,14,1,4,0.071428571,0.285714286,0.002995693,2422662
Kempton,9,47.267,51.42467,-0.394925,14,0,1,0,0.071428571,0.002694029,2422662
Kempton,10,47.267,51.42551,-0.395681,14,0,24,0,1.714285714,0.001956686,2422662
Kempton,11,47.267,51.426216,-0.395945,14,0,10,0,0.714285714,0.001208357,2422662
Kempton,12,47.267,51.42723,-0.395522,14,1,89,0.071428571,6.357142857,0.00032259,2422662
Kempton,13,47.267,51.427163,-0.394682,14,0,47,0,3.357142857,0.000348343,2422662
EalingA,1,38.849,51.509427,-0.343253,14,0,7,0,0.5,0.000988519,352043
EalingA,2,38.849,51.510616,-0.345353,14,1,0,0.071428571,0,0.001528768,352043
EalingA,3,38.849,51.510462,-0.342861,14,0,2,0,0.142857143,0.000879886,352043
EalingA,4,38.849,51.5114646,-0.3432942,14,0,34,0,2.428571429,0.000834195,352043
EalingA,5,40.083,51.512394,-0.346757,14,0,27,0,1.928571429,0.00175272,352043
EalingA,6,53.857,51.51139,-0.350158,14,0,2,0,0.142857143,0.001453944,352043
EalingA,7,38.849,51.510853,-0.341958,14,0,7,0,0.5,0.000876348,352043
EalingA,8,54.637,51.51337,-0.349881,14,0,23,0,1.642857143,0.003319166,352043
EalingA,9,39.017,51.513731,-0.3461,14,9,33,0.642857143,2.357142857,0.00037835,352043
EalingA,10,39.017,51.513571,-0.345335,11,6,8,0.545454545,0.727272727,0.000558983,352043
EalingA,11,31.308,51.513058,-0.342639,14,4,33,0.285714286,2.357142857,0.000452961,352043
EalingA,12,39.017,51.514371,-0.348201,14,8,29,0.571428571,2.071428571,0.00185557,352043
EalingA,1,22.367,51.5267718,-0.3243502,14,0,24,0,1.714285714,0.001093262,352043
EalingA,2,33.036,51.528942,-0.31721,14,1,15,0.071428571,1.071428571,0.001113715,352043
EalingA,3,34.909,51.525607,-0.3206272,14,2,12,0.142857143,0.857142857,0.000563096,352043
EalingA,4,33.036,51.529288,-0.315621,14,3,23,0.214285714,1.642857143,0.001275052,352043
EalingA,5,35.733,51.528735,-0.312746,14,0,20,0,1.428571429,0.000395729,352043
EalingA,6,35.733,51.5297867,-0.3243823,14,0,16,0,1.142857143,0.00228754,352043
EalingA,7,35.733,51.530822,-0.313123,14,2,5,0.142857143,0.357142857,0.001657645,352043
EalingB,1,10.2,51.495678,-0.329932,14,0,76,0,5.42857143,0.00072552,3251436
EalingB,2,10.2,51.497298,-0.331095,14,0,15,0,1.07142857,0.00134335,3251436
EalingB,3,10.2,51.498138,-0.33713,14,2,24,0.14285714,1.71428571,0.00025246,3251436
EalingB,4,10.2,51.4983739,-0.3350894,14,0,3,0,0.21428571,0.00078973,3251436
EalingB,5,43.479,51.49788,-0.332928,14,0,61,0,4.35714286,0.00053898,3251436
EalingB,6,43.479,51.4961299,-0.3309702,14,0,9,0,0.64285714,0.00071057,3251436
EalingB,7,43.479,51.499345,-0.336531,14,5,8,0.35714286,0.57142857,0.00104938,3251436
EalingB,8,39.404,51.500237,-0.335288,14,0,15,0,1.07142857,0.00097767,3251436
EalingB,9,39.404,51.501259,-0.33662,14,3,12,0.21428571,0.85714286,0.00027125,3251436
EalingB,10,39.404,51.500094,-0.332967,7,4,9,0.57142857,1.28571429,0.00025671,3251436
EalingB,11,30.765,51.500765,-0.332506,14,2,45,0.14285714,3.21428571,0.00029659,3251436
KingstonA,1,22.409,51.386273,-0.253174,14,0,30,0,2.142857143,0.000415199,130439
KingstonA,2,22.409,51.386103,-0.2519,14,0,91,0,6.5,0.000304587,130439
KingstonA,3,22.409,51.386077,-0.249689,14,0,9,0,0.642857143,0.000204495,130439
KingstonA,4,22.409,51.38608669,-0.248531643,14,3,54,0.214285714,3.857142857,0.000125523,130439
KingstonA,5,22.409,51.3862742,-0.2469716,14,1,2,0.071428571,0.142857143,0.000239113,130439
KingstonA,6,30.018,51.4023788,-0.2451734,14,0,73,0,5.214285714,0.00055036,130439
KingstonA,7,30.018,51.38693,-0.267638,14,3,79,0.214285714,5.642857143,0.000561601,130439
KingstonA,8,30.018,51.388002,-0.251544,14,0,68,0,4.857142857,0.000339252,130439
KingstonA,9,30.018,51.3869251,-0.2501454,14,0,56,0,4,0.000881675,130439
KingstonA,10,30.018,51.3869619,-0.2483171,14,0,111,0,7.928571429,0.000981732,130439
KingstonB,1,36.276,51.38039345,-0.262186053,14,0,13,0,0.928571429,0.001590194,804431
KingstonB,2,36.276,51.3804336,-0.2609908,14,2,17,0.142857143,1.214285714,0.000786611,804431
KingstonB,3,48.423,51.38134233,-0.26370321,14,0,3,0,0.214285714,0.001282466,804431
KingstonB,4,48.423,51.3822912,-0.26370321,14,1,31,0.071428571,2.214285714,0.000467456,804431
KingstonB,5,48.423,51.382848,-0.264896,14,0,8,0,0.571428571,0.000809188,804431
KingstonB,6,39.312,51.38418894,-0.26825468,14,1,21,0.071428571,1.5,7.56E-05,804431
KingstonB,7,39.312,51.38418894,-0.266737523,14,0,16,0,1.142857143,0.00085139,804431
KingstonB,8,39.312,51.4054279,-0.2463401,14,0,37,0,2.642857143,0.001188679,804431
KingstonB,9,45.386,51.384932,-0.268082,14,4,30,0.285714286,2.142857143,0.000802408,804431
KingstonB,10,45.386,51.38513781,-0.266737523,14,0,28,0,2,0.001409099,804431
KingstonB,11,45.386,51.4053122,-0.2451384,14,0,8,0,0.571428571,0.001752383,804431
KingstonB,12,45.386,51.386141,-0.268487,14,1,3,0.071428571,0.214285714,0.001358346,804431
KingstonC,1,39.305,51.3870356,-0.2470145,14,0,14,0,1,0.00041181,1007540
KingstonC,2,39.305,51.388188,-0.268741,14,0,64,0,4.57142857,0.00039885,1007540
KingstonC,3,39.305,51.3879844,-0.2485316,14,3,75,0.21428571,5.35714286,0.00029099,1007540
KingstonC,4,36.896,51.4028486,-0.2449272,14,0,33,0,2.35714286,0.00103739,1007540
KingstonC,5,12.868,51.404387,-0.254819,14,2,13,0.14285714,0.92857143,0.0003377,1007540
KingstonC,6,12.868,51.404896,-0.252938,14,9,13,0.64285714,0.92857143,0.00063705,1007540
KingstonC,7,36.896,51.405601,-0.248988,14,1,65,0.07142857,4.64285714,0.00043667,1007540
KingstonC,8,36.896,51.405898,-0.247343,14,0,40,0,2.85714286,0.00044895,1007540
GNW.A,23,26.338,51.468844,-0.038717,13,0,92,0,7.076923077,9.08E-05,6701582
GNW.A,24,36.647,51.46948,-0.038402,13,0,70,0,5.384615385,0.000734536,6701582
GNW.A,25,26.338,51.469927,-0.038391,13,0,69,0,5.307692308,0.001022917,6701582
GNW.A,26,26.338,51.469333,-0.039178,13,1,103,0.076923077,7.923076923,3.74E-05,6701582
GNW.A,27,36.647,51.4709291,-0.03952,13,0,77,0,5.923076923,0.000161022,6701582
GNW.A,28,36.647,51.472032,-0.039087,13,3,160,0.230769231,12.30769231,0.000324019,6701582
GNW.A,29,36.647,51.471539,-0.038934,13,0,88,0,6.769230769,0.000550004,6701582
GNW.A,30,36.647,51.4707327,-0.038627,13,0,2,0,0.153846154,0.001064076,6701582
GNW.B,1,18.404,51.455958,-0.039941,13,0,83,0,6.384615385,0.000477629,97007
GNW.B,2,18.404,51.455535,-0.040109,13,0,85,0,6.538461538,0.00051649,97007
GNW.B,3,18.404,51.455187,-0.039985,13,0,31,0,2.384615385,0.000243004,97007
GNW.B,4,18.404,51.455201,-0.040775,13,0,86,0,6.615384615,0.000946203,97007
GNW.B,5,18.404,51.454857,-0.040536,13,0,0,0,0,0.0005732,97007
GNW.B,9,31.311,51.445266,-0.050616,13,0,200,0,15.38461538,0.000544524,97007
GNW.B,10,31.311,51.4448,-0.050599,13,0,4,0,0.307692308,0.000842999,97007
GNW.B,11,31.311,51.444049,-0.05095,13,0,163,0,12.53846154,0.00044641,97007
GNW.B,12,31.311,51.445224,-0.049718,13,0,1,0,0.076923077,0.001036978,97007
GNW.B,13,31.311,51.446147,-0.048896,13,0,17,0,1.307692308,0.000768773,97007
GNW.B,14,31.311,51.4465706,-0.0485736,13,2,15,0.153846154,1.153846154,0.000600671,97007
GNW.B,15,31.311,51.445725,-0.049483,13,3,13,0.230769231,1,0.000791145,97007
GNW.B,16,31.311,51.44544,-0.048456,13,0,2,0,0.153846154,0.000511602,97007
GNW.B,17,31.311,51.444724,-0.049224,13,0,9,0,0.692307692,0.000334938,97007
GNW.B,18,31.311,51.445979,-0.048333,13,0,53,0,4.076923077,0.000944416,97007
GNW.B,19,31.311,51.4466297,-0.0473618,13,4,12,0.307692308,0.923076923,0.000470175,97007
GNW.B,20,31.311,51.448107,-0.046468,13,0,21,0,1.615384615,8.21E-05,97007
GNW.B,21,31.311,51.4475971,-0.0464867,13,30,23,2.307692308,1.769230769,0.000246185,97007
GNW.B,22,31.311,51.4471134,-0.0474697,13,0,5,0,0.384615385,0.000819507,97007
GNW.C,6,36.449,51.43172688,-0.051606247,13,93,123,7.153846154,9.461538462,5.44E-05,12321
GNW.C,7,36.449,51.432324,-0.052557,13,80,11,6.153846154,0.846153846,8.63E-05,12321
GNW.C,8,36.449,51.431767,-0.05246,13,14,15,1.076923077,1.153846154,0.000203928,12321
Bushy,1,22.146,51.40703,-0.33821,20,0,34,0,1.7,0.000187131,4647922
Bushy,2,22.146,51.40705,-0.3366,3,0,12,0,4,0.000517317,4647922
Bushy,3,22.146,51.4084,-0.33887,24,0,1,0,0.041666667,0.001477957,4647922
Bushy,4,6.349,51.40994,-0.35038,24,0,3,0,0.125,0.000695841,4647922
Bushy,5,6.349,51.40994,-0.34809,24,0,4,0,0.166666667,0.001383271,4647922
Bushy,6,46.483,51.41007,-0.34588,24,0,0,0,0,0.002363094,4647922
Bushy,7,21.117,51.40991,-0.3436,24,0,33,0,1.375,0.003185167,4647922
Bushy,8,21.117,51.41003,-0.34119,24,0,0,0,0,0.003182367,4647922
Bushy,9,21.117,51.40994,-0.33894,24,0,3,0,0.125,0.003003899,4647922
Bushy,10,48.659,51.40994,-0.33665,24,0,13,0,0.541666667,0.003334657,4647922
Bushy,11,6.439,51.40994,-0.33436,24,0,21,0,0.875,0.003521137,4647922
Bushy,12,6.439,51.40994,-0.33207,24,0,11,0,0.458333333,0.003313716,4647922
Bushy,13,24.499,51.40994,-0.32978,24,0,2,0,0.083333333,0.003056275,4647922
Bushy,14,24.499,51.40994,-0.32749,3,0,17,0,5.666666667,0.002799238,4647922
Bushy,15,28.642,51.40995,-0.3252,24,0,1,0,0.041666667,0.00257082,4647922
Bushy,16,28.642,51.41141,-0.35496,24,0,1,0,0.041666667,0.000551725,4647922
Bushy,17,22.376,51.41137,-0.35267,22,0,1,0,0.045454545,0.001337148,4647922
Bushy,18,29.26,51.4112,-0.35044,24,0,10,0,0.416666667,0.001895294,4647922
Bushy,19,46.483,51.41137,-0.34809,24,0,4,0,0.166666667,0.002633398,4647922
Bushy,20,46.483,51.41132,-0.3437,24,0,13,0,0.541666667,0.004392115,4647922
Bushy,21,46.483,51.41123,-0.34378,24,0,26,0,1.083333333,0.004277347,4647922
Bushy,22,48.659,51.41137,-0.34123,24,0,28,0,1.166666667,0.004479267,4647922
Bushy,23,48.659,51.41137,-0.33894,24,0,12,0,0.5,0.004429189,4647922
Bushy,24,48.659,51.41137,-0.33665,24,0,15,0,0.625,0.004737296,4647922
Bushy,25,12.162,51.41139,-0.33449,2,0,4,0,2,0.004973233,4647922
Bushy,26,12.162,51.41137,-0.33207,8,0,4,0,0.5,0.004729399,4647922
Bushy,27,24.499,51.41164,-0.32914,24,0,11,0,0.458333333,0.004672376,4647922
Bushy,28,24.499,51.41201,-0.32795,24,0,20,0,0.833333333,0.004904602,4647922
Bushy,29,40.766,51.41139,-0.32619,24,0,13,0,0.541666667,0.004114833,4647922
Bushy,30,40.766,51.4126049,-0.3198589,24,0,20,0,0.833333333,0.003008066,4647922
Bushy,31,22.376,51.41064,-0.32087,25,0,18,0,0.72,0.002335444,4647922
Bushy,32,8.875,51.41267,-0.35435,24,0,26,0,1.083333333,0.001940369,4647922
Bushy,33,5.846,51.41286,-0.35428,25,0,28,0,1.12,0.002142769,4647922
Bushy,34,29.26,51.41295,-0.35326,24,0,12,0,0.5,0.002556573,4647922
Bushy,35,29.26,51.41299,-0.3504,24,0,12,0,0.5,0.003651741,4647922
Bushy,36,29.26,51.41284,-0.34835,24,0,5,0,0.208333333,0.003814081,4647922
Bushy,37,45.923,51.41277,-0.34574,24,0,15,0,0.625,0.004917861,4647922
Bushy,38,57.439,51.41286,-0.34317,24,0,4,0,0.166666667,0.006014506,4647922
Bushy,39,57.439,51.4128,-0.34122,24,0,13,0,0.541666667,0.005875043,4647922
Bushy,40,46.55,51.41267,-0.33906,24,0,17,0,0.708333333,0.005715176,4647922
Bushy,41,46.55,51.4128,-0.33665,24,0,20,0,0.833333333,0.006139936,4647922
Bushy,42,12.162,51.4128,-0.33436,24,0,5,0,0.208333333,0.006377058,4647922
Bushy,43,12.162,51.41295,-0.33232,24,0,7,0,0.291666667,0.006328868,4647922
Bushy,44,67.404,51.41285,-0.33031,10,0,9,0,0.9,0.006006852,4647922
Bushy,45,67.404,51.4128335,-0.3256284,24,0,4,0,0.166666667,0.005484432,4647922
Bushy,46,40.766,51.41294,-0.32281,8,0,10,0,1.25,0.004980303,4647922
Bushy,47,29.728,51.41319,-0.31997,24,0,11,0,0.458333333,0.002728769,4647922
Bushy,48,29.728,51.41286,-0.31874,24,0,13,0,0.541666667,0.001988056,4647922
Bushy,49,29.728,51.41423,-0.35724,24,0,17,0,0.708333333,0.000794825,4647922
Bushy,50,8.875,51.41423,-0.35496,25,0,41,0,1.64,0.002730094,4647922
Bushy,51,8.875,51.41428,-0.35019,24,0,13,0,0.541666667,0.004921386,4647922
Bushy,52,29.26,51.41401,-0.34826,24,0,16,0,0.666666667,0.004940865,4647922
Bushy,53,29.26,51.41423,-0.3458,4,0,15,0,3.75,0.006245537,4647922
Bushy,54,45.923,51.41456,-0.34388,24,0,9,0,0.375,0.007278387,4647922
Bushy,55,45.923,51.4143,-0.33882,20,0,11,0,0.55,0.00735927,4647922
Bushy,56,45.923,51.41423,-0.33665,24,0,10,0,0.416666667,0.007214629,4647922
Bushy,57,57.439,51.41423,-0.33436,23,0,10,0,0.434782609,0.006803147,4647922
Bushy,58,46.55,51.41423,-0.33436,4,0,19,0,4.75,0.006803147,4647922
Bushy,59,46.55,51.41434,-0.32997,17,0,20,0,1.176470588,0.006047249,4647922
Bushy,60,33.161,51.41424,-0.3278,24,0,19,0,0.791666667,0.0054872,4647922
Bushy,61,33.161,51.4148627,-0.3267038,24,0,2,0,0.083333333,0.004591523,4647922
Bushy,62,33.161,51.4148723,-0.3221547,24,0,6,0,0.25,0.002963882,4647922
Bushy,63,33.161,51.4135976,-0.3196485,24,0,16,0,0.666666667,0.002222973,4647922
Bushy,64,53.619,51.4139459,-0.31844,24,0,14,0,0.583333333,0.00106221,4647922
Bushy,65,53.619,51.41566,-0.35724,24,0,81,0,3.375,0.00030652,4647922
Bushy,66,53.619,51.41577,-0.35479,11,0,20,0,1.818181818,0.002571693,4647922
Bushy,67,29.728,51.41554,-0.3532,21,0,17,0,0.80952381,0.00414466,4647922
Bushy,68,8.875,51.41561,-0.35068,21,0,60,0,2.857142857,0.006018412,4647922
Bushy,69,18.183,51.41587,-0.3479,24,0,3,0,0.125,0.006823231,4647922
Bushy,70,39.608,51.41566,-0.3458,24,0,20,0,0.833333333,0.007253237,4647922
Bushy,71,39.608,51.41587,-0.34445,24,0,27,0,1.125,0.006955712,4647922
Bushy,72,39.608,51.41564,-0.34108,24,0,30,0,1.25,0.006814078,4647922
Bushy,73,11.701,51.41567,-0.33893,14,0,25,0,1.785714286,0.006279713,4647922
Bushy,74,11.701,51.41568,-0.33637,27,0,20,0,0.740740741,0.005738059,4647922
Bushy,75,11.701,51.41566,-0.33436,24,0,18,0,0.75,0.005396949,4647922
Bushy,76,11.701,51.41566,-0.33207,24,1,17,0.041666667,0.708333333,0.005049746,4647922
Bushy,77,46.55,51.41568,-0.33003,23,0,12,0,0.52173913,0.004761272,4647922
Bushy,78,33.661,51.41576,-0.32746,24,0,1,0,0.041666667,0.003930101,4647922
Bushy,79,33.661,51.41566,-0.32521,24,0,3,0,0.125,0.003357596,4647922
Bushy,80,67.404,51.41576,-0.32311,24,0,0,0,0,0.002535004,4647922
Bushy,81,67.404,51.41566,-0.32063,24,0,17,0,0.708333333,0.001565989,4647922
Bushy,82,53.619,51.41719,-0.35449,24,0,90,0,3.75,0.00261211,4647922
Bushy,83,53.619,51.41707,-0.35247,20,0,24,0,1.2,0.004623537,4647922
Bushy,84,29.728,51.41724,-0.35107,24,0,12,0,0.5,0.006028641,4647922
Bushy,85,23.629,51.41706,-0.34802,24,0,10,0,0.416666667,0.00653297,4647922
Bushy,86,35.323,51.41709,-0.3458,16,0,18,0,1.125,0.00583306,4647922
Bushy,87,35.323,51.41763,-0.34396,24,0,10,0,0.416666667,0.00516966,4647922
Bushy,88,18.349,51.41709,-0.34123,22,0,17,0,0.772727273,0.005448396,4647922
Bushy,89,18.349,51.41712,-0.33896,24,0,0,0,0,0.004873548,4647922
Bushy,90,11.701,51.41731,-0.33771,27,0,113,0,4.185185185,0.004407483,4647922
Bushy,91,11.701,51.41703,-0.33407,24,0,6,0,0.25,0.003997061,4647922
Bushy,92,20.833,51.41709,-0.33207,24,0,1,0,0.041666667,0.003634055,4647922
Bushy,93,20.833,51.41709,-0.32978,24,0,3,0,0.125,0.003331337,4647922
Bushy,94,33.661,51.41689,-0.32788,8,0,5,0,0.625,0.002941487,4647922
Bushy,95,33.661,51.41709,-0.32292,24,0,3,0,0.125,0.00123021,4647922
Bushy,96,56.011,51.41709,-0.32063,24,0,5,0,0.208333333,0.000296546,4647922
Bushy,97,56.011,51.41842,-0.35471,24,0,4,0,0.166666667,0.002791966,4647922
