"placeID","Park","canopy.coverage","Lat","Long","Nights.active","Cat","trapping_rate_cat","distance","camera_trap_id","park.size"
10,"Barnes",7.653,51.46751,-0.22891,20,9,0.45,0.000766186,"Barnes.10",1759732
16,"Barnes",7.653,51.46856,-0.23225,14,3,0.214285714,0.001607606,"Barnes.16",1759732
18,"Barnes",43.94,51.47002,-0.24281,20,2,0.1,0.000743206,"Barnes.18",1759732
20,"Barnes",29.372,51.47002,-0.23815,20,1,0.05,0.001770434,"Barnes.20",1759732
24,"Barnes",26.268,51.47002417,-0.22882,20,2,0.1,0.000774428,"Barnes.24",1759732
26,"Barnes",29.372,51.47148708,-0.24048,20,2,0.1,0.000126879,"Barnes.26",1759732
27,"Barnes",29.372,51.47148708,-0.23815,20,16,0.8,0.000309694,"Barnes.27",1759732
28,"Barnes",18.506,51.47148708,-0.23349,20,1,0.05,0.003141905,"Barnes.28",1759732
3,"Kempton",44.93,51.426195,-0.390401,14,2,0.142857143,0.000857236,"Kempton.3",2422662
5,"Kempton",44.93,51.424928,-0.388122,14,1,0.071428571,0.001711708,"Kempton.5",2422662
6,"Kempton",35.9,51.423894,-0.38883,14,6,0.428571429,0.002923882,"Kempton.6",2422662
7,"Kempton",35.9,51.424066,-0.390086,14,1,0.071428571,0.002986236,"Kempton.7",2422662
8,"Kempton",47.267,51.42399,-0.391985,14,1,0.071428571,0.002995693,"Kempton.8",2422662
12,"Kempton",47.267,51.42723,-0.395522,14,1,0.071428571,0.00032259,"Kempton.12",2422662
2,"EalingA",38.849,51.510616,-0.345353,14,1,0.071428571,0.001528768,"EalingA.2",352043
9,"EalingA",39.017,51.513731,-0.3461,14,9,0.642857143,0.00037835,"EalingA.9",352043
10,"EalingA",39.017,51.513571,-0.345335,11,6,0.545454545,0.000558983,"EalingA.10",352043
11,"EalingA",31.308,51.513058,-0.342639,14,4,0.285714286,0.000452961,"EalingA.11",352043
12,"EalingA",39.017,51.514371,-0.348201,14,8,0.571428571,0.00185557,"EalingA.12",352043
2,"EalingA",33.036,51.528942,-0.31721,14,1,0.071428571,0.001113715,"EalingA.2",352043
3,"EalingA",34.909,51.525607,-0.3206272,14,2,0.142857143,0.000563096,"EalingA.3",352043
4,"EalingA",33.036,51.529288,-0.315621,14,3,0.214285714,0.001275052,"EalingA.4",352043
7,"EalingA",35.733,51.530822,-0.313123,14,2,0.142857143,0.001657645,"EalingA.7",352043
3,"EalingB",10.2,51.498138,-0.33713,14,2,0.14285714,0.00025246,"EalingB.3",3251436
7,"EalingB",43.479,51.499345,-0.336531,14,5,0.35714286,0.00104938,"EalingB.7",3251436
9,"EalingB",39.404,51.501259,-0.33662,14,3,0.21428571,0.00027125,"EalingB.9",3251436
10,"EalingB",39.404,51.500094,-0.332967,7,4,0.57142857,0.00025671,"EalingB.10",3251436
11,"EalingB",30.765,51.500765,-0.332506,14,2,0.14285714,0.00029659,"EalingB.11",3251436
4,"KingstonA",22.409,51.38608669,-0.248531643,14,3,0.214285714,0.000125523,"KingstonA.4",130439
5,"KingstonA",22.409,51.3862742,-0.2469716,14,1,0.071428571,0.000239113,"KingstonA.5",130439
7,"KingstonA",30.018,51.38693,-0.267638,14,3,0.214285714,0.000561601,"KingstonA.7",130439
2,"KingstonB",36.276,51.3804336,-0.2609908,14,2,0.142857143,0.000786611,"KingstonB.2",804431
4,"KingstonB",48.423,51.3822912,-0.26370321,14,1,0.071428571,0.000467456,"KingstonB.4",804431
6,"KingstonB",39.312,51.38418894,-0.26825468,14,1,0.071428571,7.56e-05,"KingstonB.6",804431
9,"KingstonB",45.386,51.384932,-0.268082,14,4,0.285714286,0.000802408,"KingstonB.9",804431
12,"KingstonB",45.386,51.386141,-0.268487,14,1,0.071428571,0.001358346,"KingstonB.12",804431
3,"KingstonC",39.305,51.3879844,-0.2485316,14,3,0.21428571,0.00029099,"KingstonC.3",1007540
5,"KingstonC",12.868,51.404387,-0.254819,14,2,0.14285714,0.0003377,"KingstonC.5",1007540
6,"KingstonC",12.868,51.404896,-0.252938,14,9,0.64285714,0.00063705,"KingstonC.6",1007540
7,"KingstonC",36.896,51.405601,-0.248988,14,1,0.07142857,0.00043667,"KingstonC.7",1007540
26,"GNW.A",26.338,51.469333,-0.039178,13,1,0.076923077,3.74e-05,"GNW.A.26",6701582
28,"GNW.A",36.647,51.472032,-0.039087,13,3,0.230769231,0.000324019,"GNW.A.28",6701582
14,"GNW.B",31.311,51.4465706,-0.0485736,13,2,0.153846154,0.000600671,"GNW.B.14",97007
15,"GNW.B",31.311,51.445725,-0.049483,13,3,0.230769231,0.000791145,"GNW.B.15",97007
19,"GNW.B",31.311,51.4466297,-0.0473618,13,4,0.307692308,0.000470175,"GNW.B.19",97007
21,"GNW.B",31.311,51.4475971,-0.0464867,13,30,2.307692308,0.000246185,"GNW.B.21",97007
6,"GNW.C",36.449,51.43172688,-0.051606247,13,93,7.153846154,5.44e-05,"GNW.C.6",12321
7,"GNW.C",36.449,51.432324,-0.052557,13,80,6.153846154,8.63e-05,"GNW.C.7",12321
8,"GNW.C",36.449,51.431767,-0.05246,13,14,1.076923077,0.000203928,"GNW.C.8",12321
76,"Bushy",11.701,51.41566,-0.33207,24,1,0.041666667,0.005049746,"Bushy.76",4647922
127,"Bushy",40.906,51.42282,-0.35496,36,1,0.027777778,0.003474804,"Bushy.127",4647922
5,"HH",23.454,51.5568577,-0.1505947,16,26,1.625,39.99100106,"HH.5",3606309
9,"HH",20.866,51.558603,-0.154504,21,1,0.047619048,260.3770402,"HH.9",3606309
10,"HH",20.866,51.55821574,-0.152608304,36,43,1.194444444,165.6566234,"HH.10",3606309
13,"HH",40.866,51.5597,-0.1633,21,4,0.19047619,67.46354183,"HH.13",3606309
14,"HH",40.866,51.5598,-0.1612,21,2,0.095238095,139.2743435,"HH.14",3606309
17,"HH",20.866,51.55953206,-0.154726527,22,1,0.045454545,212.9528737,"HH.17",3606309
18,"HH",20.866,51.55953206,-0.152608304,21,4,0.19047619,192.7040151,"HH.18",3606309
19,"HH",20.866,51.5596096,-0.1503211,21,2,0.095238095,53.31250075,"HH.19",3606309
25,"HH",76.974,51.56084837,-0.165317647,21,2,0.095238095,217.31863,"HH.25",3606309
26,"HH",76.974,51.5608,-0.1607,13,1,0.076923077,251.0996207,"HH.26",3606309
55,"HH",76.25,51.56479731,-0.182263438,36,2,0.055555556,335.0261046,"HH.55",3606309
84,"HH",61.519,51.56742,-0.18438,21,1,0.047619048,96.08448206,"HH.84",3606309
107,"HH",38.928,51.57006256,-0.165317647,9,2,0.222222222,282.4450978,"HH.107",3606309
110,"HH",55.008,51.57006,-0.15895,21,1,0.047619048,60.14171006,"HH.110",3606309
114,"HH",38.928,51.5718852,-0.1671858,10,1,0.1,132.8710021,"HH.114",3606309
117,"HH",48.584,51.57137888,-0.161081199,33,3,0.090909091,6.319854086,"HH.117",3606309
120,"HH",49.307,51.57269,-0.18226,19,3,0.157894737,59.27930983,"HH.120",3606309
121,"HH",46.453,51.572707,-0.1675777,21,1,0.047619048,38.23700881,"HH.121",3606309
122,"HH",46.453,51.5726848,-0.165448,21,29,1.380952381,6.171826216,"HH.122",3606309
57,"Regent",21.888,51.52506,-0.15684,14,3,0.214285714,94.78754521,"Regent.57",1798265
