Park,Place_ID,Latitude,Longitude,Nights.active,Cat,Fox,trapping_rate_cat,trapping_rate_fox
A,1,51.509427,-0.343253,14,0,7,0,0.5
A,2,51.510616,-0.345353,14,1,0,0.071428571,0
A,3,51.510462,-0.342861,14,0,2,0,0.142857143
A,4,51.5114646,-0.3432942,14,0,34,0,2.428571429
A,5,51.512394,-0.346757,14,0,27,0,1.928571429
A,6,51.51139,-0.350158,14,0,2,0,0.142857143
A,7,51.510853,-0.341958,14,0,7,0,0.5
A,8,51.51337,-0.349881,14,0,23,0,1.642857143
A,9,51.513731,-0.3461,14,9,33,0.642857143,2.357142857
A,10,51.513571,-0.345335,11,6,8,0.545454545,0.727272727
A,11,51.513058,-0.342639,14,4,33,0.285714286,2.357142857
A,12,51.514371,-0.348201,14,8,29,0.571428571,2.071428571
C,1,51.5267718,-0.3243502,14,0,24,0,1.714285714
C,2,51.528942,-0.31721,14,1,15,0.071428571,1.071428571
C,3,51.525607,-0.3206272,14,2,12,0.142857143,0.857142857
C,4,51.529288,-0.315621,14,3,23,0.214285714,1.642857143
C,5,51.528735,-0.312746,14,0,20,0,1.428571429
C,6,51.5297867,-0.3243823,14,0,16,0,1.142857143
C,7,51.530822,-0.313123,14,2,5,0.142857143,0.357142857
B,1,51.495678,-0.329932,14,0,76,0,5.428571429
B,2,51.497298,-0.331095,14,0,15,0,1.071428571
B,3,51.498138,-0.33713,14,2,24,0.142857143,1.714285714
B,4,51.4983739,-0.3350894,14,0,3,0,0.214285714
B,5,51.49788,-0.332928,14,0,61,0,4.357142857
B,6,51.4961299,-0.3309702,14,0,9,0,0.642857143
B,7,51.499345,-0.336531,14,5,8,0.357142857,0.571428571
B,8,51.500237,-0.335288,14,0,15,0,1.071428571
B,9,51.501259,-0.33662,14,3,12,0.214285714,0.857142857
B,10,51.500094,-0.332967,7,4,9,0.571428571,1.285714286
B,11,51.500765,-0.332506,14,2,45,0.142857143,3.214285714