placeID,canopy.coverage,,Lat,Long,Nights.active,Cat,Fox,trapping_rate_cat,trapping_rate_fox,distance
1,,,51.5567652,-0.1594981,28,0,18,0,0.642857143,2.768202449
2,,,51.5569361,-0.1570352,21,0,7,0,0.333333333,72.56672437
3,,,51.5570779,-0.1540721,26,0,56,0,2.153846154,95.89629878
4,,,51.5566076,-0.1520853,3,0,1,0,0.333333333,68.98209547
5,,,51.5568577,-0.1505947,16,26,46,1.625,2.875,39.99100106
6,,,51.55821574,-0.169554095,21,0,7,0,0.333333333,95.64756616
7,,,51.5587886,-0.1677625,18,0,69,0,3.833333333,183.8018692
8,,,51.55907,-0.156764,12,0,25,0,2.083333333,308.625643
9,,,51.558603,-0.154504,21,1,88,0.047619048,4.19047619,260.3770402
10,,,51.55821574,-0.152608304,36,43,104,1.194444444,2.888888889,165.6566234
11,,,51.5590329,-0.1695786,21,0,31,0,1.476190476,184.8544155
12,,,51.5596121,-0.165205,21,0,27,0,1.285714286,104.9674208
13,,,51.5597,-0.1633,21,4,39,0.19047619,1.857142857,67.46354183
14,,,51.5598,-0.1612,21,2,25,0.095238095,1.19047619,139.2743435
15,,,51.5593975,-0.1583962,14,0,55,0,3.928571429,240.3367853
16,,,51.5596651,-0.1562913,21,0,16,0,0.761904762,260.5981687
17,,,51.55953206,-0.154726527,22,1,9,0.045454545,0.409090909,212.9528737
18,,,51.55953206,-0.152608304,21,4,23,0.19047619,1.095238095,192.7040151
19,,,51.5596096,-0.1503211,21,2,32,0.095238095,1.523809524,53.31250075
20,,,51.5596096,-0.1503211,32,0,37,0,1.15625,53.31250075
21,,,51.56084837,-0.173790542,21,0,17,0,0.80952381,16.94800259
22,,,51.56084,-0.17167,14,0,41,0,2.928571429,104.3407684
23,,,51.561,-0.169,21,0,21,0,1,269.4447578
24,,,51.56084837,-0.167435871,21,0,11,0,0.523809524,311.2104129
25,,,51.56084837,-0.165317647,21,2,19,0.095238095,0.904761905,217.31863
26,,,51.5608,-0.1607,13,1,52,0.076923077,4,251.0996207
27,,,51.5605812,-0.1571999,20,0,13,0,0.65,260.6807176
28,,,51.5606483,-0.1531018,21,0,17,0,0.80952381,71.64853427
29,,,51.5610435,-0.1507181,21,0,10,0,0.476190476,14.6796731
30,,,51.56216468,-0.184381661,15,0,34,0,2.266666667,9.231739003
31,,,51.56216468,-0.182263438,21,0,9,0,0.428571429,130.929601
32,,,51.56216468,-0.180145214,21,0,9,0,0.428571429,94.00998703
33,,,51.56216468,-0.173790542,21,0,15,0,0.714285714,143.167613
34,,,51.56216468,-0.171672318,21,0,20,0,0.952380952,222.170517
35,,,51.56216468,-0.169554095,21,0,24,0,1.142857143,311.8898759
36,,,51.56216468,-0.163199423,21,0,26,0,1.238095238,341.6330832
37,,,51.5632,-0.1614,15,0,16,0,1.066666667,397.9249187
38,,,51.5619569,-0.1595187,16,0,16,0,1,337.0266744
39,,,51.5621578,-0.1571345,11,0,19,0,1.727272727,180.3430057
40,,,51.56216468,-0.154726527,21,0,29,0,1.380952381,64.15567408
41,,,51.5632,-0.1885,21,0,49,0,2.333333333,71.50366734
42,,,51.56216,-0.16531,21,0,7,0,0.333333333,354.0876455
43,,,51.563481,-0.182263438,21,0,1,0,0.047619048,212.9030648
44,,,51.5636,-0.1804,12,0,38,0,3.166666667,253.8423611
45,,,51.563481,-0.173790542,21,0,15,0,0.714285714,286.6300755
46,,,51.563481,-0.169554095,21,0,23,0,1.095238095,427.3924835
47,,,51.563481,-0.165317647,21,0,0,0,0,497.3163646
48,,,51.563922,-0.1653009,8,0,26,0,3.25,545.3391027
49,,,51.563481,-0.161081199,20,0,0,0,0,368.6440286
50,,,51.563481,-0.158962975,21,0,4,0,0.19047619,227.7235554
51,,,51.563481,-0.156844751,21,0,18,0,0.857142857,95.31468211
52,,,51.5647,-0.1886,21,0,68,0,3.238095238,107.7117312
53,,,51.5647,-0.1866,21,0,28,0,1.333333333,245.9445412
54,,,51.5647443,-0.18433425,21,0,15,0,0.714285714,272.4847813
55,,,51.56479731,-0.182263438,36,2,74,0.055555556,2.055555556,335.0261046
56,,,51.5648,-0.1801,21,0,7,0,0.333333333,387.1072842
57,,,51.5652,-0.178,21,0,37,0,1.761904762,457.9017706
58,,,51.5649,-0.1759,17,0,2,0,0.117647059,437.2988393
59,,,51.56479,-0.17379,21,0,0,0,0,431.2782697
60,,,51.5648246,-0.171596,21,0,21,0,1,474.1050641
61,,,51.56479731,-0.169554095,21,0,24,0,1.142857143,544.6372687
62,,,51.56479731,-0.167435871,21,0,4,0,0.19047619,632.6115459
63,,,51.5647973,-0.1653176,18,0,34,0,1.888888889,522.7859282
64,,,51.56509,-0.16314,21,0,0,0,0,392.2853374
65,,,51.56479731,-0.161081199,16,0,18,0,1.125,313.2974352
66,,,51.5648015,-0.1591011,1,0,2,0,2,209.5628842
67,,,51.56611,-0.19073,21,0,19,0,0.904761905,42.03317692
68,,,51.56611,-0.18649,11,0,6,0,0.545454545,266.421843
69,,,51.5661,-0.1844,12,0,2,0,0.166666667,238.5192705
70,,,51.56611362,-0.182263438,51,0,108,0,2.117647059,241.2734629
71,,,51.566,-0.1801,21,0,1,0,0.047619048,332.6246427
72,,,51.566,-0.178,21,0,17,0,0.80952381,422.8749679
73,,,51.5664,-0.1757,21,0,2,0,0.095238095,309.5172224
74,,,51.56611,-0.17379,19,0,10,0,0.526315789,330.2959652
75,,,51.5658856,-0.1711005,15,0,1,0,0.066666667,419.4502784
76,,,51.5663,-0.1674,20,0,23,0,1.15,547.9253099
77,,,51.5661,-0.1652,7,0,1,0,0.142857143,423.2415577
78,,,51.56611,-0.16319,21,0,2,0,0.095238095,315.2312918
79,,,51.56611,-0.16108,18,0,5,0,0.277777778,210.8943772
80,,,51.56611362,-0.158962975,21,0,60,0,2.857142857,105.9248383
81,,,51.56742,-0.19073,21,0,24,0,1.142857143,116.8950183
82,,,51.56742,-0.18861,12,0,1,0,0.083333333,122.7293882
83,,,51.56729,-0.18668,11,0,27,0,2.454545455,158.5065217
84,,,51.56742,-0.18438,21,1,47,0.047619048,2.238095238,96.08448206
85,,,51.5673,-0.1801,21,0,4,0,0.19047619,225.0094427
86,,,51.5671,-0.178,21,0,4,0,0.19047619,330.6520354
87,,,51.56742994,-0.175908766,12,0,13,0,1.083333333,209.942066
88,,,51.5674643,-0.1734098,21,0,25,0,1.19047619,189.34208
89,,,51.5677613,-0.1715108,13,0,21,0,1.615384615,245.2789818
90,,,51.567351,-0.1694268,21,0,56,0,2.666666667,391.6858258
91,,,51.56742,-0.16743,13,0,2,0,0.153846154,508.0333537
92,,,51.56742,-0.16531,21,0,7,0,0.333333333,370.9693396
93,,,51.56742,-0.16319,21,0,49,0,2.333333333,230.6094447
94,,,51.56742,-0.16108,21,0,27,0,1.285714286,108.7603616
95,,,51.56874,-0.18014,21,0,4,0,0.19047619,141.2087461
96,,,51.56874,-0.17802,21,0,10,0,0.476190476,190.1699535
97,,,51.56874625,-0.173790542,13,0,10,0,0.769230769,53.18828793
98,,,51.568528,-0.1710123,19,0,0,0,0,230.7918867
99,,,51.5686933,-0.1698261,14,0,3,0,0.214285714,301.0435336
100,,,51.56874625,-0.167435871,21,0,12,0,0.571428571,461.4531223
101,,,51.56874,-0.16531,21,0,28,0,1.333333333,353.9023948
102,,,51.56874,-0.16319,33,0,26,0,0.787878788,222.1383048
103,,,51.57006,-0.18014,35,0,13,0,0.371428571,116.6287287
104,,,51.5696048,-0.171432,37,0,4,0,0.108108108,172.8675833
105,,,51.5699799,-0.1703089,29,0,14,0,0.482758621,243.6920766
106,,,51.5699799,-0.1703089,26,0,60,0,2.307692308,243.6920766
107,,,51.57006256,-0.165317647,9,2,13,0.222222222,1.444444444,282.4450978
108,,,51.5697976,-0.1629294,20,0,3,0,0.15,151.2989046
109,,,51.5703065,-0.1606134,21,0,25,0,1.19047619,36.38364367
110,,,51.57006,-0.15895,21,1,78,0.047619048,3.714285714,60.14171006
111,,,51.57137,-0.18014,21,0,31,0,1.476190476,10.78180927
112,,,51.57137888,-0.171672318,13,0,4,0,0.307692308,81.38568027
113,,,51.571433,-0.1695062,21,0,196,0,9.333333333,150.5487375
114,,,51.5718852,-0.1671858,10,1,45,0.1,4.5,132.8710021
115,,,51.5712542,-0.1657639,21,0,8,0,0.380952381,166.1449909
116,,,51.5713765,-0.1618753,40,0,79,0,1.975,46.66418966
117,,,51.57137888,-0.161081199,33,3,138,0.090909091,4.181818182,6.319854086
118,,,51.5722,-0.1849,12,0,14,0,1.166666667,7.006498319
119,,,51.57269,-0.18226,21,0,81,0,3.857142857,59.27930983
120,,,51.57269,-0.18226,19,3,156,0.157894737,8.210526316,59.27930983
121,,,51.572707,-0.1675777,21,1,12,0.047619048,0.571428571,38.23700881
122,,,51.5726848,-0.165448,21,29,24,1.380952381,1.142857143,6.171826216
123,,,51.5725533,-0.1629496,21,0,146,0,6.952380952,8.246243422
124,,,51.57256,-0.16108,21,0,105,0,5,21.4739715
125,,,51.5735546,-0.1862576,21,0,13,0,0.619047619,35.07220683
126,,,51.5749,-0.1877,21,0,33,0,1.571428571,40.40710365
127,,,51.5757606,-0.1846537,21,0,91,0,4.333333333,98.90327863
128,,,51.5768,-0.1885,11,0,71,0,6.454545455,1.398474588
129,,,51.5767778,-0.1844793,15,0,11,0,0.733333333,142.6473821
130,,,51.5764692,-0.1862298,9,0,2,0,0.222222222,111.829957